tag,release_datetime
v1.2.0-beta,2024-11-22T16:15:39
v1.3.0-beta,2024-11-28T11:37:08
v1.4.0-beta,2024-12-05T12:37:54
v2.0.0-beta,2025-01-15T08:12:22
v2.2.0-beta,2025-01-31T12:56:40
v2.3.0-beta,2025-02-27T16:37:31
v2.3.1-beta,2025-03-07T09:50:18
v2.3.2-beta,2025-03-12T18:04:38
v2.4.0-beta,2025-05-12T14:15:34
v2.5.0-beta,2025-05-23T07:58:36
v2.6.0-beta,2025-06-03T17:12:12
v2.7.0-beta,2025-06-05T12:33:45
v2.8.0-beta,2025-06-06T17:53:41
v2.8.1-beta,2025-06-13T13:54:23
v2.9.0-beta,2025-06-18T20:34:27
v2.10.1-beta,2025-06-20T23:43:50
v2.10.2-beta,2025-06-24T17:18:14
v2.11.2-beta,2025-06-27T18:53:32
v2.12.0-beta,2025-07-02T16:23:39
v2.12.1-beta,2025-07-07T13:53:22
v2.12.2-beta,2025-07-14T09:26:16
v2.12.3-beta,2025-07-17T12:42:59
v2.12.4-beta,2025-07-24T08:12:44
v2.12.5-beta,2025-07-31T17:31:23
v2.12.6-beta,2025-08-15T10:05:51
v2.13.0-beta,2025-08-27T14:04:01
pr-1266-testing,2025-08-28T10:43:57
pr-1266-testing,2025-08-28T12:59:33
pr-1266-testing,2025-08-28T14:46:22
pr-1266-testing,2025-08-28T15:41:09
pr-1266-testing,2025-08-29T10:49:10
pr-1266-testing,2025-08-29T15:48:02
pr-1266-testing,2025-09-01T14:30:49
pr-1266-testing,2025-09-01T15:59:31
pr-1266-testing,2025-09-03T12:18:37
v2.14.0-beta,2025-09-11T14:09:36
v2.15.0-beta,2025-09-17T13:44:58
v2.16.0-beta,2025-09-22T11:46:53
v2.17.0-beta,2025-09-27T10:33:15
v2.17.1-beta,2025-10-01T13:24:32
v2.17.3-beta,2025-10-09T10:58:55
v2.17.4-beta,2025-10-17T15:12:02
v2.17.5-beta,2025-10-28T11:18:48
v2.17.6-beta,2025-10-29T15:14:36
v2.17.7-beta,2025-11-05T15:36:08
v2.17.8-beta,2025-11-13T13:23:12
v2.17.9-beta,2025-11-20T12:05:51
v2.17.10-beta,2025-11-26T17:04:38
v2.17.11-beta,2025-12-03T17:09:30
v2.17.12-beta,2025-12-10T17:03:16
v2.17.13-beta,2026-01-08T08:19:17
v2.17.18-beta,2026-01-30T15:13:29
v2.18.0-beta,2026-02-04T19:27:47
v2.19.0-beta,2026-02-05T16:12:59
v2.19.1-beta,2026-02-25T10:41:18
v2.19.3-beta,2026-03-20T13:46:43
v2.20.1-beta,2026-03-24T12:38:30
v2.20.0-beta,2026-03-26T11:50:03
v2.21.0-beta,2026-04-02T10:35:13
v2.22.1-beta,2026-04-10T13:34:55
v2.22.2-beta,2026-04-16T10:42:04
v2.22.3-beta,2026-04-23T10:39:17
v2.22.3-beta,2026-04-28T08:20:39
