tag,release_datetime
v2.10.1-beta,2025-06-23T09:47:59
v2.10.2-beta,2025-06-25T08:52:50
v2.11.2-beta,2025-06-30T10:58:33
v2.12.0-beta,2025-07-03T07:54:20
v2.12.1-beta,2025-07-08T09:22:35
v2.12.2-beta,2025-07-16T09:17:27
v2.12.3-beta,2025-07-22T09:53:36
v2.12.4-beta,2025-07-29T09:23:04
v2.12.5-beta,2025-08-05T09:21:44
v2.12.6-beta,2025-08-19T09:26:25
v2.14.0-beta,2025-09-16T10:27:50
v2.16.0-beta,2025-09-22T12:45:43
v2.17.0-beta,2025-09-28T09:29:42
v2.17.1-beta,2025-10-07T09:19:04
v2.17.3-beta,2025-10-14T09:28:05
v2.17.4-beta,2025-10-20T11:37:06
v2.17.5-beta,2025-10-28T11:32:42
v2.17.6-beta,2025-11-04T11:34:05
v2.17.7-beta,2025-11-11T10:39:59
v2.17.8-beta,2025-11-18T11:06:05
v2.17.9-beta,2025-11-25T10:20:30
v2.17.10-beta,2025-12-02T10:26:32
v2.17.11-beta,2025-12-09T10:35:38
v2.17.12-beta,2025-12-16T10:28:58
v2.17.18-beta,2026-02-03T10:39:43
v2.19.0-beta,2026-02-11T10:57:09
v2.19.1-beta,2026-02-26T10:18:51
v2.19.3-beta,2026-03-24T10:21:42
v2.22.1-beta,2026-04-14T09:33:49
v2.22.2-beta,2026-04-21T09:35:39
v2.22.3-beta,2026-04-28T10:24:34
v2.23.0-beta,2026-05-05T10:06:14
