tag,release_datetime
732db18,2024-11-05T16:22:06
c7b7c54,2024-11-19T13:44:31
v1.2.0-beta,2024-11-22T12:41:39
493c337,2024-11-26T11:18:06
428ecfa,2024-11-27T14:24:08
v1.3.0-beta,2024-11-28T11:20:34
v1.4.0-beta,2024-12-05T12:16:16
55b597e,2024-12-10T16:15:14
5381e13,2024-12-13T13:09:30
86bfae3,2024-12-16T10:36:31
0fc8d30,2024-12-16T15:24:09
3490cb5,2024-12-17T13:49:36
f28c8cf,2024-12-19T09:23:34
86043ec,2024-12-23T15:03:36
18814e3,2025-01-10T15:04:27
v2.0.0-beta,2025-01-14T17:37:33
f5f3d40,2025-01-16T13:33:49
99e5714,2025-01-21T10:11:02
6aedfa2,2025-01-22T11:54:15
202fd4c,2025-01-24T13:28:10
d4d1ea8,2025-01-28T16:17:11
db11b51,2025-01-29T16:20:42
v2.2.0-beta,2025-01-31T12:22:30
a68a216,2025-02-03T13:10:01
a715b0e,2025-02-06T14:58:50
72844b6,2025-02-12T16:30:07
5295aca,2025-02-13T17:23:57
76bf08d,2025-02-17T11:18:13
55f3850,2025-02-24T14:40:35
v2.3.0-beta,2025-02-27T16:03:41
8945c8a8,2025-03-03T15:52:31
v2.3.1-beta,2025-03-06T15:30:10
v2.3.2-beta,2025-03-12T14:56:56
1ab45947,2025-03-18T13:50:29
6caa0d88,2025-03-19T15:33:21
d544274e,2025-03-24T16:04:00
dfa76590,2025-03-26T12:06:22
4acb8035,2025-03-31T15:35:08
31d85d97,2025-04-01T12:27:30
de94052a,2025-04-01T14:55:11
c7e39c91,2025-04-02T11:23:41
775f685f,2025-04-03T14:11:41
20246de5,2025-04-04T09:15:30
1ceddd5f,2025-04-04T15:29:41
a3a4380b,2025-04-08T09:13:36
1ebacbf4,2025-04-10T09:46:26
e5c33f7a,2025-04-11T09:30:11
30ce603e,2025-04-14T14:36:09
f128d8a9,2025-04-22T14:57:56
ee70a740,2025-04-23T09:19:45
267b6de0,2025-04-30T14:24:18
v2.4.0-beta,2025-05-12T10:12:56
3b56784b,2025-05-12T14:06:27
a01f58cb,2025-05-16T08:50:38
cc434db4,2025-05-20T10:07:52
v2.5.0-beta,2025-05-22T12:19:07
v2.5.1-beta,2025-05-23T09:04:25
02354440,2025-05-27T15:21:23
736cbec0,2025-05-28T14:24:23
79f19609,2025-05-29T15:38:36
cf918ac7,2025-05-30T11:45:25
91dd7ec1,2025-06-03T11:07:05
v2.6.0-beta,2025-06-03T16:40:44
40ca77a7,2025-06-04T11:11:21
9bb4abc7,2025-06-04T15:23:07
v2.7.0-beta,2025-06-05T11:49:29
v2.8.0-beta,2025-06-06T17:22:15
e99aa2a7,2025-06-10T14:44:13
b0e4ad2a,2025-06-12T13:59:51
v2.8.1-beta,2025-06-13T13:03:44
61f64417,2025-06-16T11:49:44
466632b9,2025-06-17T13:25:14
aeb804d7,2025-06-18T11:18:16
v2.9.0-beta,2025-06-18T17:28:44
0052c874,2025-06-19T14:25:09
849fa78f,2025-06-20T08:47:00
8f4f4db6,2025-06-20T15:15:01
v2.10.0-beta,2025-06-20T16:32:30
v2.10.1-beta,2025-06-20T20:05:07
64036a35,2025-06-23T12:10:06
e6b7886f,2025-06-23T14:11:36
d5f35309,2025-06-24T08:52:11
v2.10.2-beta,2025-06-24T15:54:23
PR-1035,2025-06-26T14:11:17
012efa44,2025-06-26T15:41:03
d062735e,2025-06-27T08:34:35
v2.11.0-beta,2025-06-27T13:11:17
v2.11.2-beta,2025-06-27T17:17:00
2fb79924,2025-06-30T08:57:50
0ab2c02f,2025-07-01T08:56:51
ed8f22b8,2025-07-01T09:59:11
3322a275,2025-07-01T12:12:27
79501e78,2025-07-02T10:52:24
v2.12.0-beta,2025-07-02T15:43:46
