tag,release_datetime
v1.2.0-beta,2024-11-22T12:41:40
v1.3.0-beta,2024-11-28T11:20:33
v1.4.0-beta,2024-12-05T12:16:15
v2.0.0-beta,2025-01-14T17:51:36
v2.2.0-beta,2025-01-31T12:22:30
v2.3.0-beta,2025-02-27T16:03:43
v2.3.1-beta,2025-03-06T15:30:10
v2.3.2-beta,2025-03-12T14:58:03
v2.4.0-beta,2025-05-12T10:12:53
v2.5.0-beta,2025-05-22T12:18:47
v2.5.1-beta,2025-05-23T09:04:26
v2.8.1-beta,2025-06-13T13:06:17
v2.9.0-beta,2025-06-18T17:28:46
v2.10.0-beta,2025-06-20T16:35:23
v2.10.1-beta,2025-06-20T20:05:16
v2.10.2-beta,2025-06-24T15:54:22
v2.11.0-beta,2025-06-27T13:11:39
v2.11.2-beta,2025-06-27T17:16:45
v2.12.0-beta,2025-07-02T15:44:28
v2.12.1-beta,2025-07-07T14:30:11
v2.12.2-beta,2025-07-14T08:33:14
v2.12.3-beta,2025-07-17T10:48:07
v2.12.4-beta,2025-07-23T16:13:14
v2.12.5-beta,2025-07-31T15:57:36
v2.12.6-beta,2025-08-15T09:16:17
v2.13.0-beta,2025-08-27T12:01:29
v2.14.0-beta,2025-09-16T10:27:17
v2.15.0-beta,2025-09-17T12:53:30
v2.16.0-beta,2025-09-22T11:17:37
v2.17.1-beta,2025-10-01T14:01:15
v2.17.3-beta,2025-10-09T10:30:49
v2.17.4-beta,2025-10-17T14:04:44
v2.17.6-beta,2025-10-29T14:38:59
v2.17.7-beta,2025-11-05T14:12:58
v2.17.8-beta,2025-11-13T12:37:48
v2.17.9-beta,2025-11-20T11:25:51
v2.17.10-beta,2025-11-26T16:16:57
v2.17.11-beta,2025-12-03T15:47:50
v2.17.12-beta,2025-12-10T13:34:03
v2.17.13-beta,2026-01-07T15:28:06
v2.17.14-beta,2026-01-15T09:27:31
v2.17.16-beta,2026-01-21T12:12:42
v2.17.17-beta,2026-01-23T12:16:52
v2.17.18-beta,2026-01-29T09:51:30
v2.18.0-beta,2026-02-04T17:23:51
v2.19.0-beta,2026-02-05T15:17:35
v2.19.1-beta,2026-02-25T10:03:53
v2.19.2-beta,2026-03-05T13:57:06
v2.19.3-beta,2026-03-20T09:08:55
v2.20.1-beta,2026-03-24T12:02:40
v2.20.0-beta,2026-03-26T11:49:44
v2.21.0-beta,2026-03-30T11:13:25
v2.22.0-beta,2026-04-08T15:23:31
v2.22.1-beta,2026-04-10T09:39:30
v2.22.2-beta,2026-04-13T17:32:43
v2.23.0-beta,2026-05-05T10:25:27
